display_id,assigned_tag_id,assigned_primary_tag,confidence,agent_reason,question_stem
"QUAD-001","tag_ma_quadratic_6","Newton's Formula","High","Power sums Pn = a^n + b^n combined via the recurrence Pn = -(b/a)Pn-1 - (c/a)Pn-2.","Let $\alpha$ and $\beta$ be the roots of $x^{2} + \sqrt{3}x - 16 = 0$, and $\gamma$ and $\delta$ be the roots of $x^{2} + 3x - 1 = 0$. If $P_{n} = \al"
"QUAD-002","tag_ma_quadratic_10","Miscellaneous Problems","Medium","Roots of a parametric quadratic evaluated through a limit as t to -1, mixing roots with limits.","For $t > -1$, let $\alpha_{t}$ and $\beta_{t}$ be the roots of the equation $((t+2)^{\frac{1}{2}} - 1)x^{2} + ((t+2)^{\frac{3}{2}} - 1)x + ((t+2)^{\fr"
"QUAD-003","tag_ma_quadratic_1","Relation between Roots & Coefficients","High","Uses Vieta on given roots to form a new quadratic with transformed roots.","If $2$ and $6$ are the roots of the equation $ax^2 + bx + 1 = 0$, then the quadratic equation, whose roots are $\frac{1}{2a+b}$ and $\frac{1}{6a+b}$, "
"QUAD-004","tag_ma_quadratic_6","Newton's Formula","High","Sn = a*alpha^n + b*beta^n satisfies the same linear recurrence as the power sums.","If $\alpha$, $\beta$ are the roots of the equation, $x^2 - x - 1 = 0$ and $S_n = 2023\alpha^{n} + 2024\beta^{n}$, then"
"QUAD-005","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Quadratic inside a modulus |x^2-8x+15| solved by cases.","The sum of all the roots of the equation $|x^2 - 8x + 15| - 2x + 7 = 0$ is"
"QUAD-006","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Equation x^2 - |x| - 12 = 0 involves modulus of x.","The number of real solutions of the equation, $x^2 - |x| - 12 = 0$ is:"
"QUAD-007","tag_ma_quadratic_1","Relation between Roots & Coefficients","High","Symmetric functions p+q and p^4+q^4 used to recover the quadratic via sum and product.","Let $p$ and $q$ be two positive numbers such that $p+q = 2$ and $p^4 + q^4 = 272$. Then $p$ and $q$ are roots of the equation:"
"QUAD-008","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Equation (x+1)^2 + |x-5| = 27/4 involves a modulus term.","The number of the real roots of the equation $(x+1)^2 + |x-5| = \frac{27}{4}$ is ______."
"QUAD-009","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Complex conjugate root pair (1-2i and 1+2i) gives the real coefficients via Vieta.","If $\alpha$, $\beta \in \mathbb{R}$ are such that $1 - 2i$ (here $i^2 = -1$) is a root of $z^2 + \alpha z + \beta = 0$, then $(\alpha - \beta)$ is equ"
"QUAD-010","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Set of m for which both roots are real is a discriminant >= 0 condition.","Consider the two sets: $A = \{m \in \mathbb{R} : \text{both the roots of } x^2 - (m+1)x + m + 4 = 0 \text{ are real} \}$ and $B = [-3, 5)$. Which of t"
"QUAD-011","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Equation 9x^2 - 18|x| + 5 = 0 is a quadratic in |x|.","The product of the roots of the equation $9x^2 - 18|x| + 5 = 0$ is:"
"QUAD-012","tag_ma_quadratic_1","Relation between Roots & Coefficients","High","Evaluates a symmetric expression in the roots using sum and product from Vieta.","If $\alpha$ and $\beta$ be two roots of the equation $x^2 - 64x + 256 = 0$. Then the value of $\left(\frac{\alpha^3}{\beta^5}\right)^{\frac{1}{8}} + \"
"QUAD-013","tag_ma_quadratic_1","Relation between Roots & Coefficients","Medium","Expresses one root beta in terms of the other using sum/product relations.","If $\alpha$ and $\beta$ are the roots of the equation $2x(2x + 1) = 1$, then $\beta$ is equal to:"
"QUAD-014","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Least positive a for real roots is a discriminant >= 0 condition.","The least positive value of `a` for which the equation, $2x^2 + (a-10)x + \frac{33}{2} = 2a$ has real roots is ______."
"QUAD-015","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","No real root requires discriminant < 0.","The number of integral values of $m$ for which the equation, $(1 + m^2)x^2 - 2(1 + 3m)x + (1 + 8m) = 0$ has no real root, is"
"QUAD-016","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Rational roots require the discriminant to be a perfect square.","The number of all possible positive integral value of $\alpha$ for which the roots of the quadratic equation $6x^2 - 11x + \alpha = 0$ are rational nu"
"QUAD-017","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Requires a quadratic expression to keep a constant sign for all x (sign of quadratic).","Let $S$ be the set of positive integral values of $a$ for which $\frac{ax^2+2(a+1)x+9a+4}{x^2-8x+32} < 0, \forall x \in \mathbb{R}$. Then, the number "
"QUAD-018","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Inequality > 0 for all real x means positive leading coefficient and discriminant < 0.","The integer $k$, for which the inequality $x^2 - 2(3k - 1)x + 8k^2 - 7 > 0$ is valid for every $x$ in $\mathbb{R}$ is:"
"QUAD-019","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Expression always positive requires a > 0 and discriminant < 0.","The number of integral values of $m$ for which the quadratic expression $(1 + 2m)x^2 - 2(1 + 3m)x + 4(1 + m), x \in \mathbb{R}$ is always positive, is"
"QUAD-020","tag_ma_quadratic_3","Max Min Value of Quadratic","High","Minimizing the sum of squares of roots, a quadratic in the parameter a, via completing the square.","The minimum value of the sum of the squares of the roots of $x^2 + (3 - a)x = 2a - 1$ is"
"QUAD-021","tag_ma_quadratic_8","N Degree Equations","High","Substituting t = x/(x-1) - (x-1)/x reduces the product equation to quadratics.","The number of solutions of the equation $\left(\frac{x}{x-1} - \frac{x-1}{x} + 2\right)\left(\frac{x}{x-1} - \frac{x-1}{x} + 3\right) = 0$ is:"
"QUAD-022","tag_ma_quadratic_8","N Degree Equations","High","Substitution y = x + 1/x reduces it to a quadratic (reciprocal-type equation).","The number of real solutions of the equation $3(x^2 + \frac{1}{x^2}) - 2(x + \frac{1}{x}) + 5 = 0$ is"
"QUAD-023","tag_ma_quadratic_9","Higher Degree Polynomials","Medium","Power-sum of roots of a genuine cubic x^3 - 2x^2 + 2x - 1 = 0.","The sum of $162^{\text{th}}$ power of the roots of the equation $x^3 - 2x^2 + 2x - 1 = 0$ is ______."
"QUAD-024","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Equation contains the modulus |2^x - 1|, solved by cases.","The number of real roots of the equation $5 + |2^{x} - 1| = 2^{x}(2^{x} - 2)$ is:"
"QUAD-025","tag_ma_quadratic_6","Newton's Formula","High","Given power sums Pn satisfying the recurrence are used to find b/a and c/a, then the reciprocal-root equation.","Let $P_n = \alpha^{n} + \beta^{n}, n \in \mathbb{N}$. If $P_{10} = 123, P_{9} = 76, P_{8} = 47$ and $P_{1} = 1$, then the quadratic equation having ro"
"QUAD-026","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Both roots positive: sign conditions on sum and product plus discriminant >= 0.","If the set of all $a \in \mathbb{R} - \{1\}$, for which the roots of the equation $(1 - a)x^2 + 2(a - 3)x + 9 = 0$ are positive is $(-\infty, -\alpha]"
"QUAD-027","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Integral roots condition on n for x^2 + 4x - n = 0.","Consider the equation $x^{2} + 4x - n = 0$, where $n \in [20, 100]$ is a natural number. Then the number of all distinct values of $n$, for which the "
"QUAD-028","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Both roots negative real: sum < 0, product > 0, discriminant >= 0.","Let the set of all values of $p \in \mathbb{R}$, for which both the roots of the equation $x^2 - (p+2)x + (2p + 9) = 0$ are negative real numbers, be "
"QUAD-029","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Equation involves moduli |x-2| and |x-3|, solved piecewise.","The number of real roots of the equation $x|x - 2| + 3|x - 3| + 1 = 0$ is:"
"QUAD-030","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Both equations contain modulus terms |x+2|, |x-2|, |x-3|.","The sum of the squares of the roots of $|x+2|^2 + |x - 2| - 2 = 0$ and the squares of the roots of $x^2 - 2|x - 3| - 5 = 0$, is"
"QUAD-031","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Equation x^2 + |2x-3| - 4 = 0 involves a modulus, solved by cases.","The sum of the squares of all the roots of the equation $x^2 + |2x - 3| - 4 = 0$, is"
"QUAD-032","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","No real root means discriminant < 0, yielding the interval for a.","If the set of all $a \in \mathbb{R}$, for which the equation $2x^2 + (a-5)x + 15 = 3a$ has no real root, is the interval $(\alpha, \beta)$, and $X = \"
"QUAD-033","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Equation has moduli |x+5| and |x+7|, solved piecewise.","The number of real solutions of the equation $x|x+5| + 2|x+7| - 2 = 0$ is ______."
"QUAD-034","tag_ma_quadratic_6","Newton's Formula","High","an = alpha^n + beta^n recurrence; the ratio simplifies to a function of the coefficient, then minimized.","Let $\alpha, \beta$ be the distinct roots of the equation $x^2 - (t^2 - 5t + 6)x + 1 = 0, t \in \mathbb{R}$ and $a_n = \alpha^{n} + \beta^{n}$. Then t"
"QUAD-035","tag_ma_quadratic_6","Newton's Formula","High","Un = alpha^n + beta^n collapsed via its recurrence relation.","Let $\alpha, \beta$ be roots of $x^2 + \sqrt{2}x - 8 = 0$. If $U_n = \alpha^{n} + \beta^{n}$, then $\frac{U_{10} + \sqrt{2}U_{9}}{2U_{8}}$ is equal to"
"QUAD-036","tag_ma_quadratic_8","N Degree Equations","High","Substitution t = 8^x reduces the exponential equation to a quadratic.","The sum of all the solutions of the equation $(8)^{2x} - 16 \cdot (8)^{x} + 48 = 0$ is:"
"QUAD-037","tag_ma_quadratic_1","Relation between Roots & Coefficients","Medium","Computes symmetric power sums alpha^4+beta^4 and alpha^6+beta^6 from Vieta to form a new quadratic.","Let $\alpha, \beta$ be the roots of the equation $x^2 + 2\sqrt{2}x - 1 = 0$. The quadratic equation, whose roots are $\alpha^{4} + \beta^{4}$ and $\fr"
"QUAD-038","tag_ma_quadratic_6","Newton's Formula","High","Pn = alpha^n - beta^n satisfies the same two-term recurrence, used to reduce the combination.","Let $\alpha, \beta; \alpha > \beta$, be the roots of the equation $x^2 - \sqrt{2}x - \sqrt{3} = 0$. Let $P_n = \alpha^{n} - \beta^{n}, n \in \mathbb{N"
"QUAD-039","tag_ma_quadratic_10","Miscellaneous Problems","Medium","Finds minimal lambda via divisibility constraints, then evaluates a surd expression in the roots; mixed manipulation.","Let $\alpha, \beta$ be roots of equation $x^2 - 70x + \lambda = 0$, where $\frac{\lambda}{3}, \frac{\lambda}{2} \notin \mathbb{Z}$. If $\lambda$ assum"
