display_id,assigned_tag_id,assigned_primary_tag,confidence,agent_reason,question_stem
"BOMA-001","tag_ma_basic_math_1","Logarithms","High","Single log equation solved by change of base to a common base; pure logarithm skill.","The number of solutions of the equation $ \log_4(x-1) = \log_2(x-3) $ is _____."
"BOMA-002","tag_ma_basic_math_1","Logarithms","High","Taking log of both sides yields a straightforward quadratic in log x, a standard single-log technique.","The product of all solutions of the equation $ e^{5(\log_e x)^2 + 3} = x^8, x > 0 $, is :"
"BOMA-003","tag_ma_basic_math_2","Mixed Log Problems","High","Coupled system of two log-exponent relations requiring substitution across variables, well beyond a single log equation.","Let $ a, b, c $ be the three distinct positive real numbers such that $ (2a)^{\log_e a} = (bc)^{\log_e b} $ and $ b^{\log_e 2} = a^{\log_e c} $. Then "
"BOMA-004","tag_ma_basic_math_2","Mixed Log Problems","High","Trigonometric-logarithmic equation with multiple variable-base log terms needing combined simplification.","If the solution of the equation $ \log_{\cos x}(\cot x) + 4\log_{\sin x}(\tan x) = 1, x \in \left(0, \frac{\pi}{2}\right) $ is $ \sin^{-1}\left(\frac{"
"BOMA-005","tag_ma_basic_math_2","Mixed Log Problems","Medium","Requires substituting 2^x and merging log_2/log_4 terms into one equation, a multi-step log manipulation.","The sum of the roots of the equation, $ x + 1 - 2\log_2(3 + 2^x) + 2\log_4(10 - 2^{-x}) = 0 $, is :"
"BOMA-006","tag_ma_basic_math_2","Mixed Log Problems","Medium","Variable-base logs that must be reduced via change of base and substitution before solving, beyond one straightforward equation.","The number of solutions of the equation $ \log_{(x+1)}(2x^2 + 7x + 5) + \log_{(2x+5)}(x+1)^2 - 4 = 0, x > 0 $, is"
"BOMA-007","tag_ma_basic_math_2","Mixed Log Problems","High","Combines a trigonometric-log identity with a second log relation requiring substitution to find n.","If for $ x \in \left(0, \frac{\pi}{2}\right) $, $ \log_{10} \sin x + \log_{10} \cos x = -1 $ and $ \log_{10}(\sin x + \cos x) = \frac{1}{2}(\log_{10} "
"BOMA-008","tag_ma_basic_math_2","Mixed Log Problems","High","Merging two log_{1/2} trig terms then counting solutions over an interval is multi-step trig+log work.","The number of distinct solutions of the equation, $ \log_{\frac{1}{2}}|\sin x| = 2 - \log_{\frac{1}{2}}|\cos x| $ in the interval $ [0, 2\pi] $, is __"
"BOMA-009","tag_ma_basic_math_3","Logarithmic Inequalities","High","A log inequality (>= 0) where the core difficulty is the variable-base domain analysis and sign of the log.","The number of integral solution $ x $ of $ \log_{\left(x+\frac{7}{2}\right)}\left(\frac{x-7}{2x-3}\right)^2 \geq 0 $ is"
"BOMA-010","tag_ma_basic_math_4","Inequalities","High","Rational/modulus inequality plus a quadratic-in-|x| inequality with set intersection; no logarithms involved.","Let $ S = \{x \in [-6, 3] - \{-2, 2\} : \frac{|x+3| - 1}{|x| - 2} \geq 0\} $ and $ T = \{x \in \mathbb{Z} : x^2 - 7|x| + 9 \leq 0\} $. Then the number"
"BOMA-011","tag_ma_basic_math_4","Inequalities","High","Sets defined by modulus inequalities, then set operations; non-log inequality skill is the bottleneck.","Let $ A = \{x \in \mathbb{R} : |x + 1| < 2\} $ and $ B = \{x \in \mathbb{R} : |x - 1| \geq 2\} $. Then which one the following statements is NOT true?"
"BOMA-012","tag_ma_basic_math_4","Inequalities","High","Modulus and square-root inequalities defining sets with operations; no logarithms involved.","If $ A = \{x \in \mathbb{R} : |x-2| > 1\} $, $ B = \{x \in \mathbb{R} : \sqrt{x^2 - 3} > 1\} $, $ C = \{x \in \mathbb{R} : |x - 4| \geq 2\} $ and $ Z "
"BOMA-013","tag_ma_basic_math_4","Inequalities","High","Modulus inequalities defining sets followed by set operations; purely non-log inequality work.","If $ A = \{x \in \mathbb{R} : |x| < 2\} $ and $ B = \{x \in \mathbb{R} : |x - 2| \geq 3\} $; then"
"BOMA-014","tag_ma_basic_math_1","Logarithms","High","Simplifying log_x 27 and log_9 x via change of base reduces to solving for x; core skill is log identities.","If $(x^2 \log_x 27) \cdot \log_9 x = x + 4$ then the value of $x$ is"
"BOMA-015","tag_ma_basic_math_3","Logarithmic Inequalities","High","Inequality in log_5 x (quadratic in the log) requiring domain check; a logarithmic inequality.","If $x$ satisfies the inequality $\log_{25} x^2 + (\log_5 x)^2 < 2$, then $x$ belongs to"
"BOMA-016","tag_ma_basic_math_2","Mixed Log Problems","Medium","Chain of three change-of-base log terms that must be combined and substituted to back out a; multi-step log manipulation.","Let $ a, b, c$ be real numbers, each greater than $ 1$, such that $ \frac{2}{3}\log_b a + \frac{3}{5}\log_c b + \frac{5}{2}\log_a c = 3$. If the value"
