display_id,assigned_tag_id,assigned_primary_tag,confidence,agent_reason,question_stem
"CMPL-001","tag_ma_complex_7","Euler and De Moivre Theorem","High","Ratio of conjugate roots reduces to i^n=1; the bottleneck is finding the order of a unit complex number (i^n cycle).","If $\alpha$ and $\beta$ be the roots of the equation $x^2 - 2x + 2 = 0$, then the least value of $n$ for which $\left(\frac{\alpha}{\beta}\right)^n = "
"CMPL-002","tag_ma_complex_3","Properties of Conjugate Modulus and argument","Medium","Uses |z|=1 with z/z̄ + z̄/z conjugate/modulus identities reduced to 2cos2θ; core skill is conjugate-modulus manipulation.","The number of complex numbers $z$, satisfying $|z| = 1$ and $\left|\frac{z}{\bar{z}} + \frac{\bar{z}}{z}\right| = 1$, is :"
"CMPL-003","tag_ma_complex_1","Algebra of Complex Number - Basics","High","Direct binomial cube of a complex number with powers of i; pure arithmetic/simplification.","Let $(-2 - \frac{1}{3}i)^3 = \frac{x + iy}{27} (i = \sqrt{-1})$, where $x$ and $y$ are real numbers then $y - x$ equals"
"CMPL-004","tag_ma_complex_4","Solution of Complex Equation","High","Solve (z̄)²+|z|=0 for all non-zero z, then use sum/product of those roots.","Let $\alpha$ and $\beta$ be the sum and the product of all the non-zero solutions of the equation $(\bar{z})^2 + |z| = 0$, $z \in \mathbf{C}$. Then $4"
"CMPL-005","tag_ma_complex_8","Geometry - Circle & Perpendicular Bisector","High","Re of fraction =0 gives circle locus x²+y²=4; max |z-(6+8i)| is distance-to-center plus radius.","Let $z$ be a complex number such that the real part of $\frac{z - 2i}{z + 2i}$ is zero. Then, the maximum value of $|z - (6 + 8i)|$ is equal to"
"CMPL-006","tag_ma_complex_2","Algebra of Complex Number - Real & Imaginary","High","Equate real and imaginary parts of |z+1|=αz+β(1+i) to solve a 2x2 system.","If $z = \frac{1}{2} - 2i$, is such that $|z + 1| = \alpha z + \beta(1 + i), i = \sqrt{-1}$ and $\alpha, \beta \in \mathbf{R}$, then $\alpha + \beta$ i"
"CMPL-007","tag_ma_complex_4","Solution of Complex Equation","Medium","Equation z²+iz̄=0 solved via taking modulus to find |z|; finding z satisfying a z/z̄ relation.","If $z = x + iy, xy \neq 0$, satisfies the equation $z^2 + i\bar{z} = 0$, then $|z^2|$ is equal to :"
"CMPL-008","tag_ma_complex_5","Triangle Inequality","High","Minimum of |z+c| over disk |z|≤1 is distance-to-center minus radius (triangle inequality min).","If $z$ is a complex number such that $|z| \leq 1$, then the minimum value of $\left|z + \frac{1}{2}(3 + 4i)\right|$ is:"
"CMPL-009","tag_ma_complex_2","Algebra of Complex Number - Real & Imaginary","High","Purely imaginary condition → set real part of rationalized fraction to zero and collect angles.","Let $A = \{\theta \in (0, 2\pi) : \frac{1 + 2i \sin \theta}{1 - i \sin \theta} \text{ is purely imaginary}\}$. Then the sum of the elements is in $A$ "
"CMPL-010","tag_ma_complex_2","Algebra of Complex Number - Real & Imaginary","Medium","Purely imaginary condition gives an equation in x,y; collides with x+y²=0 to evaluate the target; real/imaginary separation drives it.","Let the complex number $z = x + iy$ be such that $\frac{2z - 3i}{2z + i}$ is purely imaginary. If $x + y^2 = 0$, then $y^4 + y^2 - y$ is equal to"
